speaker_job-llm,speaker_job_cod-llm,state_info-llm,state_info_cod-llm,party_affiliation-llm,party_affiliation_cod-llm
president,13,new york,7,republican,6
federal_legislator_senate,4,other,10,democrat,0
governor,5,washington dc,14,democrat,0
legal_professional,6,other,10,official,3
political_organization,12,wisconsin,15,republican,6
political_organization,12,other,10,organization,4
political_organization,12,rhode island,11,democrat,0
president,13,illinois,4,democrat,0
political_organization,12,georgia,3,organization,4
federal_legislator_senate,4,other,10,independent_None,1
other,9,texas,12,republican,6
governor,5,texas,12,republican,6
president,13,other,10,media,2
other,9,florida,2,media,2
other,9,new york,7,republican,6
political_organization,12,other,10,democrat,0
presidential_candidate,14,new york,7,democrat,0
federal_legislator_senate,4,other,10,independent_None,1
political_organization,12,texas,12,organization,4
federal_legislator_senate,4,texas,12,republican,6
president,13,illinois,4,democrat,0
federal_legislator_senate,4,ohio,8,republican,6
federal_legislator_senate,4,florida,2,republican,6
federal_legislator_senate,4,new jersey,6,democrat,0
president,13,illinois,4,democrat,0
federal_legislator_house,3,texas,12,republican,6
other,9,rhode island,11,media,2
other,9,new jersey,6,third_Party,7
other,9,florida,2,third_Party,7
president,13,new york,7,republican,6
federal_legislator_senate,4,florida,2,republican,6
governor,5,florida,2,democrat,0
other,9,other,10,democrat,0
party_leader,10,new jersey,6,republican,6
political_organization,12,florida,2,republican,6
political_organization,12,florida,2,republican,6
president,13,illinois,4,democrat,0
political_organization,12,other,10,organization,4
federal_legislator_senate,4,arizona,0,republican,6
other,9,arizona,0,democrat,0
public_communicator,15,other,10,media,2
political_organization,12,georgia,3,republican,6
presidential_candidate,14,new york,7,democrat,0
local_executive,8,wisconsin,15,democrat,0
public_communicator,15,florida,2,republican,6
other,9,texas,12,democrat,0
president,13,new york,7,republican,6
political_organization,12,georgia,3,independent_None,1
president,13,illinois,4,democrat,0
federal_legislator_senate,4,arizona,0,republican,6
other,9,wisconsin,15,republican,6
other,9,wisconsin,15,democrat,0
other,9,texas,12,democrat,0
president,13,illinois,4,democrat,0
other,9,other,10,official,3
other,9,georgia,3,republican,6
other,9,rhode island,11,democrat,0
other,9,texas,12,third_Party,7
other,9,florida,2,republican,6
political_organization,12,oregon,9,organization,4
state_legislator_house,17,new jersey,6,democrat,0
state_legislator_house,17,texas,12,republican,6
federal_legislator_house,3,new york,7,democrat,0
other,9,texas,12,republican,6
presidential_candidate,14,new york,7,democrat,0
public_communicator,15,new york,7,media,2
other,9,oregon,9,democrat,0
governor,5,massachusetts,5,republican,6
governor,5,florida,2,republican,6
other,9,rhode island,11,republican,6
local_executive,8,wisconsin,15,republican,6
other,9,wisconsin,15,republican,6
public_communicator,15,georgia,3,democrat,0
federal_legislator_house,3,florida,2,democrat,0
political_organization,12,new jersey,6,republican,6
political_organization,12,other,10,media,2
federal_legislative_leader,2,california,1,democrat,0
governor,5,new jersey,6,republican,6
other,9,rhode island,11,democrat,0
political_organization,12,ohio,8,organization,4
political_organization,12,florida,2,democrat,0
presidential_candidate,14,new york,7,democrat,0
other,9,rhode island,11,republican,6
other,9,new jersey,6,media,2
presidential_candidate,14,new york,7,democrat,0
other,9,other,10,third_Party,7
political_organization,12,georgia,3,republican,6
governor,5,texas,12,republican,6
federal_legislator_house,3,texas,12,republican,6
political_organization,12,new york,7,democrat,0
political_organization,12,new jersey,6,organization,4
federal_legislator_senate,4,texas,12,republican,6
federal_legislative_candidate,1,texas,12,democrat,0
federal_legislator_senate,4,arizona,0,republican,6
